Title,Choices,Total,Source,Question,Topic,Sequence Num,Select Multiple,Alphabetical Choices,Description,Footnote
Industry,    Real estate and rental and leasing,321895,NHS,,,,,,,
Industry,    Professional; scientific and technical services,1240850,NHS,,,,,,,
Industry,    Management of companies and enterprises,17460,NHS,,,,,,,
Industry,    Administrative and support; waste management and remediation services,728330,NHS,,,,,,,
Industry,    Educational services,1301435,NHS,,,,,,,
Industry,    Health care and social assistance,1949650,NHS,,,,,,,
Industry,    Arts; entertainment and recreation,363405,NHS,,,,,,,
Industry,    Accommodation and food services,1130750,NHS,,,,,,,
Industry,    Other services (except public administration),807800,NHS,,,,,,,
Industry,    Public administration,1261050,NHS,,,,,,,
Mode of transportation,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,15385935,NHS,What mode of transportation do you use to get to work?,Work/Education,3,,,,
Mode of transportation,  Car; truck or van - as a driver,11393140,NHS,,,,,,,
Mode of transportation,  Car; truck or van - as a passenger,867050,NHS,,,,,,,
Mode of transportation,  Public transit,1851525,NHS,,,,,,,
Mode of transportation,  Walk,880815,NHS,,,,,,,
Mode of transportation,  Bicycle,201780,NHS,,,,,,,
Mode of transportation,  Other methods,191625,NHS,,,,,,,
Time leaving for work,Total employed population aged 15 years and over by time leaving for work,15385940,NHS,What time do you leave for work?,Work/Education,4,,,,
Time leaving for work,  5:00 am - 6:59 am.,3763245,NHS,,,,,,,
Time leaving for work,  7:00 am - 8:59 am.,8589130,NHS,,,,,,,
Time leaving for work,  9:00 am or after.,3033565,NHS,,,,,,,
